corr_method,x,divkFa,CdivkF4
Chevy-CCD,0.12280701754385964,-1.0,0.001906975630132589
Chevy-CCD,0.12280701754385964,-0.5,0.004043366343459784
Chevy-CCD,0.12280701754385964,0.0,0.00857316219939666
Chevy-CCD,0.12280701754385964,0.2,0.011579777637823562
Chevy-CCD,0.12280701754385964,0.4,0.015640815725016306
Chevy-CCD,0.3333333333333333,-1.0,0.00408147482936429
Chevy-CCD,0.3333333333333333,-0.5,0.009989877525625046
Chevy-CCD,0.3333333333333333,0.0,0.0244513704357531
Chevy-CCD,0.3333333333333333,0.2,0.03497843881109368
Chevy-CCD,0.3333333333333333,0.4,0.050037734485115844
Chevy-CCD,0.47368421052631576,-1.0,0.00686112975161728
Chevy-CCD,0.47368421052631576,-0.5,0.014722852417940479
Chevy-CCD,0.47368421052631576,0.0,0.031592812141376755
Chevy-CCD,0.47368421052631576,0.2,0.04287723935625397
FN-DMC,0.12280701754385964,0.0,0.008654094085407422
FN-DMC,0.12280701754385964,0.01,0.00883381431280986
FN-DMC,0.12280701754385964,0.02,0.009017938937293121
FN-DMC,0.12280701754385964,0.03,0.009206482990981068
FN-DMC,0.12280701754385964,0.04,0.009399460796351547
FN-DMC,0.12280701754385964,0.05,0.00959688586791482
FN-DMC,0.12280701754385964,0.06,0.009798770814682733
FN-DMC,0.12280701754385964,0.07,0.010005127243982281
FN-DMC,0.12280701754385964,0.08,0.010215965667175447
FN-DMC,0.12280701754385964,0.09,0.010431295407852014
FN-DMC,0.12280701754385964,0.1,0.010651124513062804
FN-DMC,0.12280701754385964,0.11,0.01087545966815809
FN-DMC,0.12280701754385964,0.12,0.011104306115789019
FN-DMC,0.12280701754385964,0.13,0.0113376675796192
FN-DMC,0.12280701754385964,0.14,0.01157554619327879
FN-DMC,0.12280701754385964,0.15,0.01181794243507485
FN-DMC,0.12280701754385964,0.16,0.012064855068948985
FN-DMC,0.12280701754385964,0.17,0.012316281092146927
FN-DMC,0.12280701754385964,0.18,0.012572215690034466
FN-DMC,0.12280701754385964,0.19,0.012832652198460468
FN-DMC,0.12280701754385964,0.2,0.013097582074030384
FN-DMC,0.12280701754385964,0.21,0.013366994872613495
FN-DMC,0.12280701754385964,0.22,0.013640878236363617
FN-DMC,0.12280701754385964,0.23,0.013919217889487159
FN-DMC,0.12280701754385964,0.24,0.014201997642943808
FN-DMC,0.12280701754385964,0.25,0.014489199408214836
FN-DMC,0.12280701754385964,0.26,0.014780803220221645
FN-DMC,0.12280701754385964,0.27,0.015076787269423622
FN-DMC,0.12280701754385964,0.28,0.015377127943069696
FN-DMC,0.12280701754385964,0.29,0.015681799875522918
FN-DMC,0.12280701754385964,0.3,0.015990776007521728
FN-DMC,0.12280701754385964,0.31,0.016304027654186485
FN-DMC,0.12280701754385964,0.32,0.016621524581525195
FN-DMC,0.12280701754385964,0.33,0.01694323509113857
FN-DMC,0.12280701754385964,0.34,0.017269126112772645
FN-DMC,0.12280701754385964,0.35000000000000003,0.017599163304316493
FN-DMC,0.12280701754385964,0.36,0.017933311158794506
FN-DMC,0.12280701754385964,0.37,0.018271533117857282
FN-DMC,0.12280701754385964,0.38,0.01861379169123217
FN-DMC,0.12280701754385964,0.39,0.018960048581555384
FN-DMC,0.12280701754385964,0.4,0.01931026481397175
FN-DMC,0.12280701754385964,0.41000000000000003,0.019664400869856043
FN-DMC,0.12280701754385964,0.42,0.02002241682398228
FN-DMC,0.12280701754385964,0.43,0.02038427248444363
FN-DMC,0.12280701754385964,0.44,0.02074992753460681
FN-DMC,0.12280701754385964,0.45,0.02111934167637041
FN-DMC,0.12280701754385964,0.46,0.02149247477398721
FN-DMC,0.12280701754385964,0.47000000000000003,0.021869286997705833
FN-DMC,0.12280701754385964,0.48,0.022249738966487517
FN-DMC,0.12280701754385964,0.49,0.022633791889058726
FN-DMC,0.12280701754385964,0.5,0.023021407702570575
FN-DMC,0.12280701754385964,0.51,0.023412549208150862
FN-DMC,0.12280701754385964,0.52,0.023807180202653908
FN-DMC,0.12280701754385964,0.53,0.02420526560593735
FN-DMC,0.12280701754385964,0.54,0.02460677158302359
FN-DMC,0.12280701754385964,0.55,0.025011665660535788
FN-DMC,0.12280701754385964,0.56,0.0254199168368346
FN-DMC,0.12280701754385964,0.5700000000000001,0.025831495685321684
FN-DMC,0.12280701754385964,0.58,0.026246374450418983
FN-DMC,0.12280701754385964,0.59,0.026664527135778847
FN-DMC,0.12280701754385964,0.6,0.027085929584328303
